fip,0 Days,1 Days,2 Days,3 Days,4 Days,5 Days,6 Days,7 Days,8 Days,9 Days,10 Days
47061,0,0,0,0,0,0,0,0.5,0.5,0.5,0.5
47063,0.117647059,0.117647059,0.294117647,0.411764706,0.647058824,0.764705882,0.764705882,0.882352941,1,1,1
47065,0.00921659,0.055299539,0.211981567,0.470046083,0.686635945,0.875576037,0.940092166,0.953917051,1,1,1
47069,0,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,1,1,1,1,1
47071,0,0,0.285714286,0.714285714,0.857142857,0.857142857,1,1,1,1,1
47073,0,0,0.166666667,0.166666667,0.5,0.666666667,0.833333333,0.833333333,0.833333333,1,1
47075,0,0.333333333,0.666666667,0.833333333,1,1,1,1,1,1,1
47077,0,0.333333333,0.5,0.5,0.5,0.833333333,0.833333333,1,1,1,1
47079,0,0,0,0.333333333,0.333333333,0.444444444,0.444444444,0.777777778,1,1,1
47081,0,0,0,0.166666667,0.166666667,0.166666667,0.333333333,0.333333333,0.333333333,0.5,0.833333333
47085,0,0,0,0,0,0.5,0.5,0.5,1,1,1
47089,0,0.1,0.2,0.2,0.4,0.4,0.4,0.6,0.9,1,1
47093,0.009950249,0.114427861,0.258706468,0.497512438,0.68159204,0.800995025,0.895522388,0.950248756,0.970149254,0.995024876,1
47097,0,0,0.6,0.6,0.6,0.6,1,1,1,1,1
47099,0,0.25,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5
47103,0,0.266666667,0.466666667,0.533333333,0.733333333,0.866666667,1,1,1,1,1
47105,0,0.178571429,0.357142857,0.678571429,0.928571429,0.928571429,0.964285714,1,1,1,1
47107,0,0.076923077,0.076923077,0.153846154,0.615384615,0.692307692,0.692307692,0.923076923,0.923076923,1,1
47109,0.111111111,0.444444444,0.777777778,0.888888889,0.888888889,1,1,1,1,1,1
47111,0,0,0,0,0,0.6,0.6,0.8,1,1,1
47113,0,0.131578947,0.394736842,0.631578947,0.789473684,0.842105263,0.868421053,0.894736842,0.921052632,0.947368421,0.973684211
47115,0,0,0,0,0,0.5,0.833333333,1,1,1,1
47117,0,0,0.153846154,0.153846154,0.384615385,0.615384615,0.769230769,1,1,1,1
47119,0,0.028985507,0.217391304,0.405797101,0.623188406,0.869565217,0.971014493,1,1,1,1
47121,0,0,0,0.25,0.5,0.5,0.75,1,1,1,1
47123,0,0,0,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,1
47125,0,0.046153846,0.184615385,0.276923077,0.4,0.476923077,0.630769231,0.692307692,0.830769231,0.907692308,0.984615385
47131,0,0,0.142857143,0.142857143,0.285714286,0.571428571,0.714285714,1,1,1,1
47133,0.2,0.4,0.4,0.4,0.4,0.4,0.6,1,1,1,1
47141,0,0.111111111,0.222222222,0.407407407,0.555555556,0.740740741,0.851851852,0.925925926,0.925925926,1,1
47143,0,0.125,0.125,0.1875,0.4375,0.625,0.625,0.75,0.8125,0.9375,1
47145,0,0,0.071428571,0.285714286,0.5,0.642857143,0.714285714,0.857142857,0.857142857,1,1
47147,0,0.0625,0.125,0.28125,0.53125,0.71875,0.8125,0.8125,0.875,1,1
47149,0.006756757,0.054054054,0.182432432,0.364864865,0.547297297,0.756756757,0.864864865,0.939189189,0.945945946,0.966216216,1
47153,0,0.125,0.125,0.5,0.5,0.875,1,1,1,1,1
47155,0,0.06122449,0.204081633,0.326530612,0.530612245,0.653061224,0.816326531,0.93877551,1,1,1
47157,0.004651163,0.148837209,0.423255814,0.63255814,0.790697674,0.879069767,0.925581395,0.96744186,1,1,1
47161,0,0,0.2,0.2,0.2,0.2,0.4,0.8,0.8,1,1
47163,0.024390244,0.097560976,0.268292683,0.414634146,0.56097561,0.829268293,0.902439024,0.951219512,0.951219512,1,1
47165,0,0.06097561,0.158536585,0.353658537,0.597560976,0.792682927,0.865853659,0.93902439,0.963414634,0.987804878,1
47167,0,0,0.272727273,0.363636364,0.545454545,0.636363636,0.636363636,0.818181818,0.818181818,1,1
47173,0,0,0,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,1,1,1
47177,0,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.75
47179,0,0.090909091,0.136363636,0.363636364,0.636363636,0.954545455,1,1,1,1,1
47181,0,0,0,0,0.333333333,1,1,1,1,1,1
47183,0,0.090909091,0.272727273,0.272727273,0.363636364,0.545454545,0.818181818,1,1,1,1
47185,0,0,0,0.066666667,0.266666667,0.466666667,0.666666667,0.866666667,1,1,1
47187,0.017241379,0.099137931,0.25862069,0.456896552,0.659482759,0.814655172,0.900862069,0.956896552,0.99137931,1,1
47189,0,0.082474227,0.175257732,0.360824742,0.556701031,0.670103093,0.824742268,0.865979381,0.917525773,0.927835052,1
48001,0,0,0,0,0,0,0.5,0.5,1,1,1
48003,0,0,0,0,0,0,0,0,0.5,0.5,0.5
48005,0,0.142857143,0.142857143,0.142857143,0.357142857,0.5,0.5,0.5,0.5,0.785714286,0.928571429
48013,0,0,0.333333333,0.333333333,0.5,0.833333333,0.833333333,0.833333333,0.833333333,1,1
48015,0,0,0,0.222222222,0.555555556,0.666666667,0.666666667,0.666666667,0.777777778,1,1
48019,0,0,0,0,0,0.25,0.75,0.75,1,1,1
48021,0,0,0.214285714,0.357142857,0.571428571,0.642857143,0.785714286,0.785714286,0.785714286,0.857142857,0.857142857
48025,0,0,0,0,0,0,0,0.5,0.5,0.5,1
48027,0,0,0.066666667,0.166666667,0.333333333,0.5,0.566666667,0.666666667,0.8,0.966666667,1
48029,0.03257329,0.123778502,0.267100977,0.439739414,0.625407166,0.798045603,0.899022801,0.941368078,0.964169381,0.986970684,1
48031,0.333333333,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667
48035,0,0,0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1
48037,0,0,0,0.333333333,0.666666667,0.833333333,1,1,1,1,1
48039,0.011494253,0.206896552,0.379310345,0.528735632,0.724137931,0.827586207,0.885057471,0.931034483,0.977011494,0.977011494,1
48041,0.037037037,0.074074074,0.296296296,0.518518519,0.703703704,0.814814815,0.888888889,0.925925926,0.962962963,0.962962963,0.962962963
48049,0,0,0,0,0.25,0.5,0.75,0.75,0.75,0.75,0.75
48053,0.230769231,0.230769231,0.384615385,0.384615385,0.461538462,0.538461538,0.692307692,0.846153846,0.923076923,0.923076923,1
48055,0,0.166666667,0.166666667,0.166666667,0.166666667,0.5,0.666666667,0.666666667,0.666666667,0.666666667,1
48061,0.022222222,0.177777778,0.444444444,0.711111111,0.866666667,0.888888889,0.977777778,1,1,1,1
48071,0,0.1,0.4,0.5,0.6,0.8,0.9,0.9,1,1,1
48073,0,0,0,0.125,0.125,0.375,0.375,0.375,0.375,0.75,1
48085,0.023746702,0.150395778,0.374670185,0.596306069,0.796833773,0.92348285,0.984168865,1,1,1,1
48089,0,0,0,0.4,0.4,0.4,0.4,0.8,0.8,1,1
48091,0.020408163,0.040816327,0.183673469,0.346938776,0.489795918,0.591836735,0.816326531,0.836734694,0.857142857,0.93877551,1
48097,0,0,0,0.75,0.75,1,1,1,1,1,1
48099,0,0,0,0,0.25,0.5,0.75,1,1,1,1
48113,0.026836158,0.149717514,0.367231638,0.528248588,0.68220339,0.81920904,0.913841808,0.959039548,0.984463277,0.992937853,1
48117,0,0,0,0,0,0.5,0.5,0.5,1,1,1
48121,0.008547009,0.11965812,0.313390313,0.541310541,0.715099715,0.854700855,0.934472934,0.98005698,1,1,1
48135,0,0.083333333,0.125,0.125,0.208333333,0.208333333,0.333333333,0.375,0.375,0.375,0.416666667
48139,0.083333333,0.138888889,0.388888889,0.694444444,0.833333333,0.888888889,0.972222222,1,1,1,1
48141,0.067567568,0.081081081,0.216216216,0.378378378,0.5,0.621621622,0.837837838,0.905405405,0.945945946,0.959459459,1
48147,0,0,0,0.333333333,0.333333333,0.666666667,0.833333333,1,1,1,1
48149,0,0,0,0.333333333,0.333333333,0.333333333,0.666666667,0.666666667,0.666666667,0.666666667,1
48157,0.027777778,0.143518519,0.347222222,0.597222222,0.74537037,0.851851852,0.921296296,0.967592593,0.986111111,0.990740741,1
48167,0.024,0.192,0.384,0.552,0.712,0.792,0.888,0.952,0.976,0.984,1
48171,0,0,0,0,0.25,0.5,0.5,0.5,0.833333333,1,1
48179,0,0,0,0,0.666666667,0.666666667,1,1,1,1,1
48181,0,0.05,0.25,0.55,0.6,0.75,0.85,0.95,0.95,0.95,0.95
48183,0,0,0,0.083333333,0.083333333,0.25,0.333333333,0.333333333,0.5,0.583333333,0.75
48185,0,0,0,0,0,0,0,0,0,0.5,0.5
48187,0.045454545,0.045454545,0.136363636,0.363636364,0.590909091,0.772727273,0.772727273,0.772727273,0.863636364,1,1
48199,0,0,0,0.25,0.375,0.5,0.625,0.75,1,1,1
48201,0.018104366,0.116080937,0.291799787,0.49627263,0.681576145,0.805111821,0.895633653,0.937167199,0.965921193,0.987220447,1
